Id,Number of gates,Parameterized gates,Non-local gates,Training time,Training iterations,CrossEntropy,Accuracy,Hilbert-Schmidt norm,Meyer Wallach
382,26,13,9,884.7106077671051,39,0.7931373410623807,0.8,0.13081512281106092,0.9067045896804484
383,31,17,7,765.0528936386108,30,0.626918163788887,0.8,0.13515304300508407,0.6781999157466098
384,27,17,8,332.26187086105347,23,0.9026004217814916,0.5333333333333333,0.13879447592823263,0.9150714282982915
385,27,12,12,760.3005428314209,59,0.7265196460942956,0.8666666666666667,0.12977355902238571,0.8403644743879696
386,34,20,8,1128.3820960521698,66,0.5997162292881185,0.8,0.13264128542978934,0.8423546301287164
387,29,16,11,455.2329320907593,29,0.6799001075091469,0.7333333333333333,0.13131752781665665,0.8440409253844123
388,27,13,10,608.7190754413605,48,0.7095562324405633,0.6666666666666666,0.1401267358763869,0.9085216308113638
389,25,12,7,773.7668874263763,40,0.6777201141026883,0.8,0.2853506983173962,0.870345808522144
390,26,12,10,1050.6417591571808,45,0.7521236048136314,0.8,0.12811040932873427,0.9537399019516879
391,26,13,10,705.06152510643,53,0.43047913738935606,0.9333333333333333,0.13330313523599185,0.9141707496771623
392,24,6,14,242.10336232185364,34,1.062882877621755,0.6,0.13605400665843295,0.7876929145001544
393,33,18,8,438.8157870769501,27,0.6039143611962733,0.8666666666666667,0.13288762910500793,0.8476375373515214
394,23,8,13,508.5374972820282,52,0.8086228113378215,0.8,0.1301802406612843,0.7504394755621182
395,27,7,15,314.5660970211029,36,0.8329746805837009,0.6,0.1343041756101078,1.0000003324236872
396,30,15,11,445.19280457496643,26,0.847230515881992,0.8,0.13680004911348784,0.9839138433001855
397,31,17,8,1980.5420196056366,68,0.6826905883837822,1.0,0.13376220964132096,0.8399978484580126
398,27,13,11,822.5179138183594,31,0.7714846879772338,0.7333333333333333,0.13822691384206134,0.755156052486625
399,29,13,11,280.4621515274048,21,0.8064814014470922,0.6666666666666666,0.13809191776853846,0.9786690982722235
400,32,17,8,2142.102822303772,68,0.7144345549520821,0.8666666666666667,0.28091580866156995,0.958310639850441
401,31,12,13,888.2187252044678,68,0.6220675286827314,0.7333333333333333,0.2799035000980771,0.6347748245570967
402,24,11,11,626.5232679843903,26,0.7977228555364817,0.6666666666666666,0.1279316649467822,0.8452251492127525
403,23,12,10,707.7166414260864,61,0.7372831851117732,0.8,0.13092586673355872,0.8373344438967433
404,29,13,9,542.1579887866974,41,0.7154760031448733,0.8,0.12839266380482278,0.7726581167814166
405,27,15,11,512.8884434700012,34,0.695661942026209,0.8,0.13245693272402245,0.8154596311119409
406,23,8,10,285.899582862854,33,0.7744947380167179,0.8,0.2815227230167174,0.8299543335553078
407,25,11,11,565.884007692337,25,0.888792092961155,0.6666666666666666,0.1326693105891523,0.9951163409792753
408,24,10,11,605.5197885036469,58,0.5031262604977579,0.8,0.28659791786658556,0.9069072020846376
409,26,11,12,271.18664741516113,22,0.7243602928357461,0.6,0.13587934008902192,0.9278506777302917
410,25,10,12,1571.4130840301514,70,0.8772756067356499,0.8666666666666667,0.14123205150212742,0.8502501758895985
411,28,15,9,1282.2405202388763,44,0.47346073397297167,0.8666666666666667,0.14412600476260987,0.9455087777179131
412,25,12,11,767.4196326732635,59,0.5865089189418652,0.8,0.13561318021002713,0.7872443290146535
413,24,14,10,2537.87176322937,94,0.6529987220167965,0.8666666666666667,0.14208032306242963,0.7959191280433937
414,29,17,10,689.4333641529083,45,0.342713522640588,0.9333333333333333,0.13495410603672306,0.8772487211929334
415,28,11,10,607.6613264083862,28,0.7761262478186911,0.6666666666666666,0.1317611074144671,1.000000535603802
416,24,9,13,302.54681062698364,30,1.1042319469248207,0.4,0.4483331570596577,0.9161273476117765
417,23,6,12,225.8531572818756,34,1.001832130564832,0.6,0.2860305673729511,0.9243577973850142
418,27,10,13,242.66251850128174,22,1.1097827619553928,0.5333333333333333,0.13015434261093542,0.928806594012295
419,25,11,12,563.040858745575,24,0.5796611778125565,0.8,0.14227185575319262,0.9097846122922505
420,31,15,11,575.0504448413849,39,0.6327657731566939,0.6666666666666666,0.143415263355032,0.9484082933841662
421,20,5,14,533.6907961368561,46,0.6681717025843508,0.8,0.14824421902131163,0.8271186890406673
422,26,14,8,468.43075585365295,37,0.6664821005038563,0.9333333333333333,0.1431912210841829,0.9215012482994444
423,23,11,10,785.713760137558,38,0.7213381969499919,0.6666666666666666,0.13106873418812048,0.8031402372603011
424,29,14,11,1020.40855884552,72,0.5085644702392671,0.9333333333333333,0.1399310904499607,0.9275856879822865
425,21,8,13,418.3540303707123,46,0.9374599617352679,0.6666666666666666,0.13424616755485186,0.9026946557449395
426,24,9,12,758.4872918128967,38,0.7737933684881478,0.7333333333333333,0.1339730085021251,0.9671771096437048
427,26,14,9,993.2493767738342,75,0.6167317569448006,0.8666666666666667,0.12875419138434493,0.8083165793859536
428,33,18,12,1190.8786993026733,32,0.6922361369856437,0.8666666666666667,0.12687791631605339,0.9774873421214262
429,26,12,8,447.0500717163086,40,0.7949929537736131,0.7333333333333333,0.1467892809798855,0.9336578468857343
430,24,10,10,499.17332911491394,26,0.7745196010679497,0.8,0.14313341111266115,0.7776454266238246
431,28,13,13,660.68852186203,43,0.8667357878473241,0.5333333333333333,0.13170911990516937,0.985415307906496
432,26,11,10,554.0177738666534,49,0.8957838250709024,0.8666666666666667,0.12565813357792965,0.8374465571451293
433,24,12,9,484.1033573150635,22,1.0177381638628646,0.5333333333333333,0.1351037069475832,0.8861133315476206
434,27,15,8,2360.762238740921,92,0.5547444986567382,0.8,0.13309122405286675,0.8160168536938334
435,25,13,11,630.479475736618,45,0.6763106799515592,1.0,0.13914808229043374,0.8825782268715645
436,30,17,8,1538.1345565319061,57,0.5983255058102376,0.9333333333333333,0.29275161977758507,0.9999986933739095
437,21,7,10,300.3651542663574,42,1.014577425237935,0.4666666666666667,0.45145629877874716,0.7500011467185804
438,27,11,10,549.4691495895386,25,0.7279202941378037,0.9333333333333333,0.13377438921283774,0.678044928912908
439,19,8,10,224.51535487174988,28,0.8869962214063738,0.8666666666666667,0.13632677154153838,0.9298788419372186
440,26,11,11,922.763218164444,74,0.5492702114292819,0.8,0.13821504066886392,0.7546937133817642
441,26,15,9,1102.2663145065308,80,0.29427626021766085,1.0,0.13226203549076823,0.8901690475686714
442,28,9,11,953.7555029392242,51,0.8989271148652693,0.6,0.29486247883902966,0.7478460980415906
443,19,7,10,171.56884860992432,23,0.9583149163023996,0.6666666666666666,0.13355384967730546,0.6326409038947525
