Id,Number of gates,Parameterized gates,Non-local gates,Training time,Training iterations,CrossEntropy,Accuracy,Hilbert-Schmidt norm,Meyer Wallach,FP1,FP2,DKL
294,28,13,12,1176.3544175624847,42,0.520493298637895,0.7333333333333333,0.1250457091206348,0.8488122780372268,0.06399380032949918,0.013263401969835826,0.3841555535105265
295,30,13,11,1297.076984167099,51,0.3318276638947554,0.8666666666666667,0.13647270984744578,0.8430507068353974,0.06218497152590194,0.012170807870434537,0.3684184002783326
296,26,11,11,567.4792718887329,48,0.4631204215579788,0.9333333333333333,0.14412354176888093,0.8993755997951014,0.06574416086005067,0.014032046044981095,0.36653765124815185
297,28,12,11,565.0309646129608,44,0.4880952437740868,0.9333333333333333,0.14314946333440542,0.7680636452365331,0.06372114634266694,0.011635095562772093,0.19131403783830855
298,24,8,14,407.27236819267273,40,0.7414006273841609,0.6,0.29362499874172077,0.6524408624269767,0.12127519433051638,0.04565890762164324,1.2146856460487268
299,27,9,11,295.2614462375641,29,0.8519580713597904,0.4,0.14007317696195595,0.734787303689371,0.06314644619421479,0.016876671336154076,0.8243784761320452
300,27,10,12,1080.7030396461487,52,0.8353146877700609,0.7333333333333333,0.1296964805933296,0.9304630522774298,0.0617534957147398,0.01176906181938799,0.29003110243356944
301,23,10,11,332.7088758945465,35,0.7399732210503218,0.6,0.14796403837755145,0.8616957326832556,0.06200419136903703,0.011627175972407798,0.27800307405427227
302,28,19,5,587.209508895874,42,0.6642855237837655,0.8666666666666667,0.13087993080423024,0.8693637183862765,0.06356687796066483,0.011775391895213804,0.25083353618303017
303,23,9,10,883.0623054504395,54,0.8712867874311316,0.7333333333333333,0.13494009701299092,0.8314476269476504,0.06304443854378287,0.016059268334767098,0.7456359567960321
304,28,11,11,544.334287405014,50,0.538815338761651,0.6666666666666666,0.1363425084504792,0.9851463376619735,0.06191308598464443,0.011781738619707735,0.2632079450199563
305,31,18,9,1074.9387118816376,30,0.7382904431690692,0.8,0.15112030912172514,0.966343645184732,0.06114299841490981,0.011243659460242921,0.27137103078784097
306,26,12,13,425.96471643447876,31,0.8493604053772666,0.6666666666666666,0.16005537875537376,0.8215972692236708,0.06285984353114245,0.01878392985021513,0.9834784601815965
307,23,9,11,512.5717625617981,29,0.5966370823430617,0.8666666666666667,0.13896420791074093,0.7383490606573327,0.06258054257108792,0.01817146277549347,1.0034640439286548
308,27,12,14,447.6075165271759,31,0.741590582195801,0.8666666666666667,0.13586167190356124,0.7144514826480666,0.061416610258807215,0.016141421457936133,0.7953908899793736
309,27,14,9,1689.3243832588196,65,0.42818368933234974,0.7333333333333333,0.14013666061953442,0.9102258973887228,0.06175844978368642,0.008858347154024568,0.08149825290980371
310,31,19,9,1761.0745122432709,86,0.3686708564132497,1.0,0.1418464845242489,0.7223909892657845,0.06234330062502879,0.011030694984360224,0.21612992194646166
311,22,8,14,439.60138511657715,23,0.9227287166433575,0.4666666666666667,0.1278674378071546,0.7459489319954135,0.059999968776802394,0.012577305552977569,0.454628876279979
312,27,12,11,624.653062582016,52,0.6424893622792618,0.8666666666666667,0.1404945628079614,0.6815591616969917,0.06138955427009305,0.012529136502508453,0.3758446135392435
313,22,7,10,177.478910446167,24,1.282711026140656,0.4,0.14513136348501943,0.856916351844246,0.061370175813993295,0.01800724423426369,1.0257107695785899
314,26,13,13,676.6683106422424,46,0.3778609870850483,1.0,0.14528885114307583,0.9555946370215277,0.06273339771357948,0.008296455048755045,0.05409373316495496
315,24,8,10,948.6640558242798,57,0.8745613258158135,0.4666666666666667,0.1338430217585438,0.7618852081870321,0.0622077795490197,0.0196404822197626,1.1727019364892706
316,28,16,8,990.1733620166779,68,0.8457140954612735,0.6666666666666666,0.1332433250287895,0.8149021693409674,0.06197128410208081,0.010065679339130808,0.15622607067949446
317,23,12,10,1057.7476370334625,47,0.5759938803666198,0.6666666666666666,0.1313741137265056,0.6423816226680832,0.06493571466997944,0.019669386156127802,1.0333038186285428
318,25,10,11,284.3033027648926,27,0.814913021936071,0.7333333333333333,0.12893401887614972,0.9473678554717293,0.061633573407415744,0.01239199703617442,0.35528652585667375
319,25,8,14,597.4055812358856,55,0.5206759830542155,0.9333333333333333,0.13438308863989715,0.9647272693762587,0.06132793795016635,0.010952359560876108,0.23079902591676899
320,27,9,14,842.3651053905487,38,0.7843424583292821,0.7333333333333333,0.13904947519885724,0.8174860225894391,0.06256299488181055,0.011779396511759169,0.2788703356057386
321,24,12,12,637.9999132156372,25,0.7081336348622103,0.6,0.13367173876810404,0.9545016336022499,0.06276760127985163,0.013922867737315806,0.46866500131870725
322,27,13,10,377.96424078941345,30,0.5616591883448,0.9333333333333333,0.13637825428472636,0.9194736812474622,0.060775984082450316,0.010103394723554359,0.15484114990572512
323,25,7,12,213.17671394348145,26,1.0081970533321207,0.6,0.6840786897431002,0.7499988968895225,0.507019309309436,0.38099050883122,16.791084558902135
324,28,11,12,391.3653202056885,31,1.015110725647991,0.5333333333333333,0.13510223013323827,0.7735589059872677,0.0645227326154792,0.017563240259104437,0.7979689887121688
325,25,16,7,367.536337852478,29,0.7519014169175434,0.6666666666666666,0.13402819538000152,0.9351789730470168,0.06320672239067608,0.009203207222558444,0.08389905738798298
326,27,14,12,591.4999177455902,38,0.7484135230417911,0.7333333333333333,0.14219279253538541,0.8825423317518787,0.06445111768937203,0.010322415225539236,0.11736080161261192
327,27,11,11,236.1718680858612,21,0.8673179250372364,0.8666666666666667,0.28645356607338024,1.0000009471704772,0.12428522771167047,0.0422700166257804,0.9481237400146606
328,28,13,11,513.1830413341522,38,0.7351963881044116,0.8666666666666667,0.1307599062820813,0.8715233388534028,0.06292727024791765,0.010796716565716175,0.1715899583530392
329,27,8,12,388.66654086112976,42,0.8099004415551432,0.8666666666666667,0.13821356725128206,0.8704335614756493,0.06278706542403752,0.01650103113714958,0.7073006564392887
330,24,16,8,383.42952847480774,27,0.7013198605998618,0.8,0.13625297752801085,0.8867125634272912,0.06270630725731262,0.01032137594763315,0.15889489129964035
331,29,14,10,1004.9990539550781,36,0.6849125009300515,0.8,0.14663924316496504,0.9104970712059364,0.0635259441379655,0.009236541037711937,0.07497113828567115
332,27,12,10,1368.3952860832214,56,0.6832204883595896,0.8,0.1389106946483372,0.8116535774844503,0.06075055433815613,0.010740927298957483,0.2256116564832344
333,24,8,10,285.0040361881256,35,0.9421161642798961,0.6,0.14194577835438305,0.9481038253618354,0.061349479180626394,0.013728945125588069,0.5183464434156567
334,30,18,8,1255.4753346443176,39,0.7062769750903347,0.6666666666666666,0.14315306652880447,0.976209608881677,0.06224508711624756,0.00892214227918659,0.08543545509775467
335,25,12,11,300.0707015991211,23,0.9442879438474686,0.4,0.13720260838353981,0.999998839620488,0.06281592359528156,0.014431996011852308,0.5407780256809369
336,29,13,11,1480.0725944042206,55,0.69409928879601,0.8666666666666667,0.13564100858210104,0.8688432850893517,0.06423963347355988,0.011501852853093101,0.19601662897336514
337,31,16,8,1115.7764234542847,76,0.4657295721419672,1.0,0.12858401356905594,0.8601906976222574,0.06162510873621686,0.009096100469353448,0.09755533780042772
338,29,16,8,554.6666553020477,40,0.831249768707933,0.6666666666666666,0.13972051377160494,0.8866314335946461,0.06259584521326639,0.012880092618480051,0.4226629164073832
339,22,7,11,274.2521789073944,21,0.8726514303268345,0.6,0.305329704694626,0.7608167558934025,0.12620913825211239,0.04990417556051434,1.3265316008050676
340,31,15,11,490.4768989086151,30,0.7868190793232933,0.6,0.12646897197335893,0.9519221237145851,0.06350356368099326,0.010848923928228808,0.15501736811846267
341,22,11,8,774.8208992481232,39,0.6030425115769067,0.5333333333333333,0.13958143867416573,1.0000002693208674,0.05980885367125092,0.013749493663284795,0.5756009278861025
342,34,20,7,1169.7715499401093,65,0.5179439565413805,0.8666666666666667,0.14934461815232974,0.8161282140788774,0.06330694471216682,0.013411811256289135,0.3552650922429873
343,21,10,9,691.1486008167267,38,0.7154816205660189,0.8,0.13619634901787386,0.9421902785128602,0.06289546642142486,0.014297192054649946,0.48313656097565894
344,29,12,9,482.338495016098,41,0.8523247279362715,0.6,0.1410940389739644,0.8568983227427495,0.061149994760767414,0.009449500174643287,0.12154744421720524
345,29,17,10,576.5168099403381,33,0.6371486338802548,0.5333333333333333,0.13407695049859505,0.7127094114887349,0.06301566397750101,0.011653151583366727,0.2668051748025114
346,25,11,9,580.2696812152863,52,0.8074635279942878,0.6666666666666666,0.28612188716457027,0.7734593641642283,0.12540580572920448,0.041572448846310533,0.8994694015955143
347,29,14,11,741.4915788173676,49,0.29288186565151064,0.9333333333333333,0.13258601737281978,0.9780242314992549,0.060887602461055665,0.008625498263554765,0.08252851877775522
